"plot","habitat","ranch","bdffp_reserve_no","HA_ID_Number","tag_number","row","column","year","ht","shts","infl","code.notes","code2"
"2107","1-ha","DIM","2107",21,21,"A","8",2002,32,2,0,NA,NA
"2107","1-ha","DIM","2107",21,21,"A","8",2003,35,3,0,NA,NA
"2107","1-ha","DIM","2107",21,21,"A","8",2004,44,3,0,NA,NA
"2107","1-ha","DIM","2107",21,21,"A","8",2005,42,4,0,NA,NA
"2107","1-ha","DIM","2107",21,21,"A","8",2006,48,3,NA,NA,NA
"2107","1-ha","DIM","2107",21,21,"A","8",2007,50,3,NA,NA,NA
"2107","1-ha","DIM","2107",21,21,"A","8",2008,56,3,NA,NA,NA
"2107","1-ha","DIM","2107",21,21,"A","8",2009,68,3,NA,NA,NA
"2107","1-ha","DIM","2107",22,22,"C","7",1998,13,3,0,NA,"initial.tag.yr"
"2107","1-ha","DIM","2107",22,22,"C","7",1999,20,2,0,NA,NA
"2107","1-ha","DIM","2107",22,22,"C","7",2000,23,2,0,NA,NA
"2107","1-ha","DIM","2107",22,22,"C","7",2001,31,2,0,NA,NA
"2107","1-ha","DIM","2107",22,22,"C","7",2002,33,4,0,NA,NA
"2107","1-ha","DIM","2107",22,22,"C","7",2003,24,4,0,NA,NA
"2107","1-ha","DIM","2107",22,22,"C","7",2004,27,3,0,NA,NA
"2107","1-ha","DIM","2107",22,22,"C","7",2005,19,2,0,NA,NA
"2107","1-ha","DIM","2107",22,22,"C","7",2006,26,3,NA,NA,NA
"2107","1-ha","DIM","2107",22,22,"C","7",2007,27,2,NA,NA,NA
"2107","1-ha","DIM","2107",22,22,"C","7",2008,30,1,NA,NA,NA
"2107","1-ha","DIM","2107",22,22,"C","7",2009,7,2,NA,NA,NA
"2107","1-ha","DIM","2107",23,24,"E","4",1998,30,2,0,NA,"initial.tag.yr"
"2107","1-ha","DIM","2107",23,24,"E","4",1999,33,3,0,NA,NA
"2107","1-ha","DIM","2107",23,24,"E","4",2000,31,3,0,NA,NA
"2107","1-ha","DIM","2107",23,24,"E","4",2001,26,3,0,NA,NA
"2107","1-ha","DIM","2107",23,24,"E","4",2002,30,2,0,NA,NA
"2107","1-ha","DIM","2107",23,24,"E","4",2003,25,3,0,NA,NA
"2107","1-ha","DIM","2107",23,24,"E","4",2004,30,2,0,NA,NA
"2107","1-ha","DIM","2107",23,24,"E","4",2005,30,2,0,NA,NA
"2107","1-ha","DIM","2107",23,24,"E","4",2006,31,3,NA,NA,NA
"2107","1-ha","DIM","2107",23,24,"E","4",2007,31,3,NA,NA,NA
"2107","1-ha","DIM","2107",23,24,"E","4",2008,48,4,NA,NA,NA
"2107","1-ha","DIM","2107",23,24,"E","4",2009,59,5,NA,NA,NA
"2107","1-ha","DIM","2107",24,25,"B","3",1998,17,1,0,NA,"initial.tag.yr"
"2107","1-ha","DIM","2107",24,25,"B","3",1999,NA,NA,NA,"plant missing (60)",NA
"2107","1-ha","DIM","2107",24,25,"B","3",2000,NA,NA,NA,"plant missing (60)",NA
"2107","1-ha","DIM","2107",24,25,"B","3",2001,NA,NA,NA,"plant missing (60)",NA
"2107","1-ha","DIM","2107",24,25,"B","3",2002,NA,NA,NA,"plant missing (60)",NA
"2107","1-ha","DIM","2107",24,25,"B","3",2003,NA,NA,NA,"plant missing (60)",NA
"2107","1-ha","DIM","2107",24,25,"B","3",2004,NA,NA,NA,"plant missing (60)",NA
"2107","1-ha","DIM","2107",24,25,"B","3",2005,NA,NA,NA,"plant missing (60)",NA
"2107","1-ha","DIM","2107",24,25,"B","3",2006,NA,NA,NA,"plant missing (60)",NA
"2107","1-ha","DIM","2107",24,25,"B","3",2007,NA,NA,NA,"plant missing (60)",NA
"2107","1-ha","DIM","2107",24,25,"B","3",2008,NA,NA,NA,NA,NA
"2107","1-ha","DIM","2107",24,25,"B","3",2009,NA,NA,NA,NA,NA
"2107","1-ha","DIM","2107",25,26,"B","1",1998,23,1,0,NA,"initial.tag.yr"
"2107","1-ha","DIM","2107",25,26,"B","1",1999,19,2,0,NA,NA
"2107","1-ha","DIM","2107",25,26,"B","1",2000,17,2,0,NA,NA
"2107","1-ha","DIM","2107",25,26,"B","1",2001,17,1,0,NA,NA
"2107","1-ha","DIM","2107",25,26,"B","1",2002,19,1,0,NA,NA
"2107","1-ha","DIM","2107",25,26,"B","1",2003,21,2,0,NA,NA
"2107","1-ha","DIM","2107",25,26,"B","1",2004,20,2,0,NA,NA
"2107","1-ha","DIM","2107",25,26,"B","1",2005,16,1,0,NA,NA
"2107","1-ha","DIM","2107",25,26,"B","1",2006,15,1,NA,NA,NA
"2107","1-ha","DIM","2107",25,26,"B","1",2007,15,2,NA,NA,NA
"2107","1-ha","DIM","2107",25,26,"B","1",2008,17,2,NA,NA,NA
"2107","1-ha","DIM","2107",25,26,"B","1",2009,19,2,NA,NA,NA
"2107","1-ha","DIM","2107",26,27,"C","1",1998,28,1,0,NA,"initial.tag.yr"
"2107","1-ha","DIM","2107",26,27,"C","1",1999,24,2,0,NA,NA
"2107","1-ha","DIM","2107",26,27,"C","1",2000,25,1,0,NA,NA
"2107","1-ha","DIM","2107",26,27,"C","1",2001,31,2,0,NA,NA
"2107","1-ha","DIM","2107",26,27,"C","1",2002,18,1,0,NA,NA
"2107","1-ha","DIM","2107",26,27,"C","1",2003,15,2,0,NA,NA
"2107","1-ha","DIM","2107",26,27,"C","1",2004,23,1,0,NA,NA
"2107","1-ha","DIM","2107",26,27,"C","1",2005,17,1,0,NA,NA
"2107","1-ha","DIM","2107",26,27,"C","1",2006,23,1,NA,NA,NA
"2107","1-ha","DIM","2107",26,27,"C","1",2007,28,2,NA,NA,NA
"2107","1-ha","DIM","2107",26,27,"C","1",2008,29,2,NA,NA,NA
"2107","1-ha","DIM","2107",26,27,"C","1",2009,27,2,NA,NA,NA
"2107","1-ha","DIM","2107",27,28,"C","9",1998,38,2,0,NA,"initial.tag.yr"
"2107","1-ha","DIM","2107",27,28,"C","9",1999,39,1,0,NA,NA
"2107","1-ha","DIM","2107",27,28,"C","9",2000,33,2,0,NA,NA
"2107","1-ha","DIM","2107",27,28,"C","9",2001,28,1,0,NA,NA
"2107","1-ha","DIM","2107",27,28,"C","9",2002,19,1,0,NA,NA
"2107","1-ha","DIM","2107",27,28,"C","9",2003,23,1,0,NA,NA
"2107","1-ha","DIM","2107",27,28,"C","9",2004,NA,NA,NA,"plant missing (60)",NA
"2107","1-ha","DIM","2107",27,28,"C","9",2005,8,2,0,NA,NA
"2107","1-ha","DIM","2107",27,28,"C","9",2006,NA,NA,NA,"dead (2)",NA
"2107","1-ha","DIM","2107",28,29,"A","9",1998,25,2,0,NA,"initial.tag.yr"
"2107","1-ha","DIM","2107",28,29,"A","9",1999,41,2,0,NA,NA
"2107","1-ha","DIM","2107",28,29,"A","9",2000,38,3,0,NA,NA
"2107","1-ha","DIM","2107",28,29,"A","9",2001,30,3,0,NA,NA
"2107","1-ha","DIM","2107",28,29,"A","9",2002,35,2,0,NA,NA
"2107","1-ha","DIM","2107",28,29,"A","9",2003,38,2,0,NA,NA
"2107","1-ha","DIM","2107",28,29,"A","9",2004,33,2,0,NA,NA
"2107","1-ha","DIM","2107",28,29,"A","9",2005,35,3,0,NA,NA
"2107","1-ha","DIM","2107",28,29,"A","9",2006,26,3,NA,NA,NA
"2107","1-ha","DIM","2107",28,29,"A","9",2007,28,5,NA,NA,NA
"2107","1-ha","DIM","2107",28,29,"A","9",2008,31,4,NA,NA,NA
