HA_ID_Number,plot,habitat,ranch,bdffp_no,yr_isolated
5918,CF-1,forest,EST,1301,NA
5931,CF-1,forest,EST,1301,NA
5938,CF-1,forest,EST,1301,NA
5965,CF-1,forest,EST,1301,NA
5966,CF-1,forest,EST,1301,NA
5981,CF-1,forest,EST,1301,NA
5986,CF-1,forest,EST,1301,NA
6003,CF-1,forest,EST,1301,NA
6052,CF-1,forest,EST,1301,NA
6392,CF-1,forest,EST,1301,NA
6421,CF-1,forest,EST,1301,NA
6448,CF-1,forest,EST,1301,NA
6466,CF-1,forest,EST,1301,NA
6468,CF-1,forest,EST,1301,NA
6485,CF-1,forest,EST,1301,NA
6603,CF-1,forest,EST,1301,NA
6615,CF-1,forest,EST,1301,NA
6630,CF-1,forest,EST,1301,NA
6824,CF-1,forest,EST,1301,NA
6901,CF-1,forest,EST,1301,NA
6988,CF-1,forest,EST,1301,NA
6990,CF-1,forest,EST,1301,NA
6991,CF-1,forest,EST,1301,NA
6998,CF-1,forest,EST,1301,NA
6999,CF-1,forest,EST,1301,NA
7051,CF-1,forest,EST,1301,NA
7052,CF-1,forest,EST,1301,NA
7065,CF-1,forest,EST,1301,NA
7066,CF-1,forest,EST,1301,NA
7067,CF-1,forest,EST,1301,NA
7135,CF-1,forest,EST,1301,NA
7136,CF-1,forest,EST,1301,NA
7137,CF-1,forest,EST,1301,NA
7138,CF-1,forest,EST,1301,NA
7139,CF-1,forest,EST,1301,NA
7141,CF-1,forest,EST,1301,NA
7142,CF-1,forest,EST,1301,NA
7143,CF-1,forest,EST,1301,NA
7144,CF-1,forest,EST,1301,NA
7161,CF-1,forest,EST,1301,NA
7240,CF-1,forest,EST,1301,NA
7241,CF-1,forest,EST,1301,NA
7271,CF-1,forest,EST,1301,NA
7353,CF-1,forest,EST,1301,NA
5910,CF-1,forest,EST,1301,NA
5959,CF-1,forest,EST,1301,NA
5984,CF-1,forest,EST,1301,NA
5985,CF-1,forest,EST,1301,NA
5992,CF-1,forest,EST,1301,NA
5993,CF-1,forest,EST,1301,NA
5998,CF-1,forest,EST,1301,NA
6005,CF-1,forest,EST,1301,NA
6013,CF-1,forest,EST,1301,NA
6017,CF-1,forest,EST,1301,NA
6020,CF-1,forest,EST,1301,NA
6022,CF-1,forest,EST,1301,NA
6023,CF-1,forest,EST,1301,NA
6024,CF-1,forest,EST,1301,NA
6025,CF-1,forest,EST,1301,NA
6028,CF-1,forest,EST,1301,NA
6033,CF-1,forest,EST,1301,NA
6041,CF-1,forest,EST,1301,NA
6060,CF-1,forest,EST,1301,NA
6062,CF-1,forest,EST,1301,NA
6065,CF-1,forest,EST,1301,NA
6070,CF-1,forest,EST,1301,NA
6397,CF-1,forest,EST,1301,NA
6408,CF-1,forest,EST,1301,NA
6418,CF-1,forest,EST,1301,NA
6429,CF-1,forest,EST,1301,NA
6434,CF-1,forest,EST,1301,NA
6446,CF-1,forest,EST,1301,NA
6509,CF-1,forest,EST,1301,NA
6568,CF-1,forest,EST,1301,NA
6612,CF-1,forest,EST,1301,NA
6613,CF-1,forest,EST,1301,NA
6618,CF-1,forest,EST,1301,NA
6620,CF-1,forest,EST,1301,NA
6622,CF-1,forest,EST,1301,NA
6864,CF-1,forest,EST,1301,NA
6896,CF-1,forest,EST,1301,NA
6920,CF-1,forest,EST,1301,NA
7005,CF-1,forest,EST,1301,NA
7008,CF-1,forest,EST,1301,NA
7039,CF-1,forest,EST,1301,NA
7055,CF-1,forest,EST,1301,NA
7056,CF-1,forest,EST,1301,NA
7057,CF-1,forest,EST,1301,NA
7163,CF-1,forest,EST,1301,NA
7164,CF-1,forest,EST,1301,NA
7212,CF-1,forest,EST,1301,NA
7243,CF-1,forest,EST,1301,NA
7270,CF-1,forest,EST,1301,NA
5792,CF-1,forest,EST,1301,NA
5795,CF-1,forest,EST,1301,NA
5802,CF-1,forest,EST,1301,NA
5915,CF-1,forest,EST,1301,NA
5917,CF-1,forest,EST,1301,NA
5933,CF-1,forest,EST,1301,NA
5958,CF-1,forest,EST,1301,NA
5990,CF-1,forest,EST,1301,NA
5991,CF-1,forest,EST,1301,NA
5994,CF-1,forest,EST,1301,NA
6010,CF-1,forest,EST,1301,NA
6011,CF-1,forest,EST,1301,NA
6015,CF-1,forest,EST,1301,NA
6035,CF-1,forest,EST,1301,NA
6036,CF-1,forest,EST,1301,NA
6038,CF-1,forest,EST,1301,NA
