PLOT,SIZE,RANCH,BDFFP_Reserve_No,Tag_Number,Row,Column,SHTS_1998,HT_1998,INFL_1998,NOTES_1998,SHTS_1999,HT_1999,INFL_1999,NOTES_1999,SHTS_2000,HT_2000,INFL_2000,NOTES_2000,SHTS_2001,HT_2001,INFL_2001,NOTES_2001,SHTS_2002,HT_2002,INFL_2002,NOTES_2002,SHTS_2003,HT_2003,INFL_2003,NOTES_2003,SHTS_2004,HT_2004,INFL_2004,NOTES_2004,SHTS_2005,HT_2005,INFL_2005,NOTES_2005
5754,10-ha,PortoAlegre,3209,973,A,7,,,,,,,,,,,,,,,,,1,6,0,1,1,7,0,,0,0,0,,,,0,
5754,10-ha,PortoAlegre,3209,981,A,7,,,,,,,,,,,,,,,,,2,18,0,3,2,19,0,,2,28,0,,2,27,0,
5754,10-ha,PortoAlegre,3209,982,A,7,,,,,,,,,,,,,,,,,1,5,0,1,0,0,0,2,,,,,,,,
5754,10-ha,PortoAlegre,3209,52,A,8,2,72,0,,4,66,0,,3,52,0,,5,78,0,,6,100,0,,0,0,1,,3,96,0,,3,89,0,
5754,10-ha,PortoAlegre,3209,142,A,8,3,49,0,,4,50,0,,4,59,0,,4,63,0,,6,70,0,,7,79,1,,5,66,0,,3,50,0,
5754,10-ha,PortoAlegre,3209,147,A,8,4,50,0,,2,45,0,,2,56,0,,3,74,0,,,,,,,,,,,,,,,,,
5754,10-ha,PortoAlegre,3209,154,A,8,2,41,0,,3,30,0,,3,38,0,,3,37,0,,6,40,0,,4,38,0,,4,51,0,,3,40,0,
5754,10-ha,PortoAlegre,3209,160,A,8,2,36,0,,2,27,0,,3,30,0,,3,22,0,,5,38,0,,3,42,0,,4,45,0,,4,38,0,
5754,10-ha,PortoAlegre,3209,164,A,8,3,71,0,,3,71,0,,4,29,0,,4,30,0,,6,29,0,,4,43,0,,9,55,0,,6,73,0,
5754,10-ha,PortoAlegre,3209,166,A,8,2,38,0,,2,30,0,,2,24,0,,2,25,0,,2,28,0,,3,50,0,,,,,,,,,
5754,10-ha,PortoAlegre,3209,172,A,8,1,55,0,,2,44,0,,3,38,0,,3,43,0,,4,42,0,,3,33,0,,3,33,0,,1,40,0,
5754,10-ha,PortoAlegre,3209,179,A,8,3,22,0,,2,24,0,,3,28,0,,1,15,0,,1,12,0,,2,15,0,,1,13,0,,1,13,0,
5754,10-ha,PortoAlegre,3209,210,A,8,2,77,0,,2,60,0,,3,52,0,,2,49,0,,5,47,0,,2,50,0,,1,49,0,,2,51,0,
5754,10-ha,PortoAlegre,3209,213,A,8,3,38,0,,2,44,0,,4,47,0,,6,40,0,,4,60,0,,4,42,0,,3,40,0,,3,40,0,
5754,10-ha,PortoAlegre,3209,215,A,8,3,69,0,,2,84,0,,3,75,0,,4,100,1,,5,68,0,,4,77,1,,0,0,0,,3,72,0,90
5754,10-ha,PortoAlegre,3209,625,A,8,1,57,0,,2,46,0,,2,44,0,,3,46,0,,4,61,0,,4,44,1,,3,38,0,90,,,,
5754,10-ha,PortoAlegre,3209,807,A,8,,,,,,,,,,,,,,,,,,,,,1,10,0,3,2,27,0,,2,27,0,
5754,10-ha,PortoAlegre,3209,851,A,8,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,1,1,12,0,
5754,10-ha,PortoAlegre,3209,852,A,8,,,,,,,,,,,,,,,,,,,,,,,,,2,14,0,50,1,10,0,
5754,10-ha,PortoAlegre,3209,858,A,8,,,,,,,,,,,,,,,,,,,,,,,,,1,16,0,3,2,21,0,
5754,10-ha,PortoAlegre,3209,859,A,8,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,1,1,10,0,
5754,10-ha,PortoAlegre,3209,860,A,8,,,,,,,,,,,,,,,,,,,,,,,,,2,14,0,3,2,18,0,
5754,10-ha,PortoAlegre,3209,867,A,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,60,0,50
5754,10-ha,PortoAlegre,3209,868,A,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24,0,50
5754,10-ha,PortoAlegre,3209,869,A,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,1
5754,10-ha,PortoAlegre,3209,892,A,8,,,,,,,,,,,,,,,,,,,,,1,32,0,1,1,26,0,,1,30,0,
5754,10-ha,PortoAlegre,3209,901,A,8,,,,,,,,,,,,,,,,,1,16,0,1,2,15,0,,3,25,0,,2,18,0,
5754,10-ha,PortoAlegre,3209,902,A,8,,,,,,,,,,,,,,,,,1,7,0,1,0,0,0,2,,,,,,,,
5754,10-ha,PortoAlegre,3209,932,A,8,,,,,,,,,,,,,,,,,1,13,0,1,,,,,,,,,,,,
5754,10-ha,PortoAlegre,3209,944,A,8,,,,,,,,,,,,,,,,,1,15,0,1,2,13,0,,1,10,0,,1,11,0,
5754,10-ha,PortoAlegre,3209,957,A,8,,,,,,,,,,,,,,,,,1,16,0,1,1,18,0,,2,18,0,,2,18,0,
5754,10-ha,PortoAlegre,3209,975,A,8,,,,,,,,,,,,,,,,,2,17,0,1,2,23,0,,2,25,0,,2,29,0,
5754,10-ha,PortoAlegre,3209,87,A,9,2,37,0,,3,40,0,,4,34,0,,3,34,0,,3,30,0,,4,32,0,,5,41,0,,7,41,0,
5754,10-ha,PortoAlegre,3209,88,A,9,3,42,0,,2,41,0,,3,35,0,90,2,34,0,,3,38,0,,4,42,1,,7,46,0,,6,47,0,
5754,10-ha,PortoAlegre,3209,89,A,9,2,35,0,,2,33,0,,1,19,0,,2,24,0,,2,13,0,90,1,10,0,,1,14,0,,2,14,0,
5754,10-ha,PortoAlegre,3209,91,A,9,3,31,0,,1,33,0,,2,33,0,,4,24,0,,2,25,0,,2,27,0,,3,29,0,,3,44,0,
5754,10-ha,PortoAlegre,3209,102,A,9,3,55,0,,4,41,0,,4,40,0,,4,41,0,,5,51,0,,9,36,0,,12,54,0,,11,57,0,
5754,10-ha,PortoAlegre,3209,111,A,9,2,14,0,,1,8,0,,2,11,0,,1,13,0,,2,17,0,,3,21,0,,4,24,0,,4,25,0,
5754,10-ha,PortoAlegre,3209,112,A,9,3,69,0,,4,69,0,,5,61,0,,5,77,0,,5,48,0,,5,72,0,,8,93,0,,7,101,0,
5754,10-ha,PortoAlegre,3209,120,A,9,,,,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,
5754,10-ha,PortoAlegre,3209,132,A,9,2,28,0,,1,22,0,,2,23,0,,2,14,0,,2,19,0,,3,27,0,,6,25,0,,4,23,0,
5754,10-ha,PortoAlegre,3209,165,A,9,3,32,0,,3,32,0,,3,33,0,,2,29,0,,3,30,0,,5,41,0,,6,68,0,,6,74,0,
5754,10-ha,PortoAlegre,3209,182,A,9,3,17,0,,2,17,0,,2,21,0,,2,29,0,,3,26,0,,6,38,0,,5,43,0,,4,59,0,
5754,10-ha,PortoAlegre,3209,184,A,9,3,18,0,,3,23,0,,3,26,0,,2,36,0,,3,17,0,90,0,0,0,2,,,,,,,,
5754,10-ha,PortoAlegre,3209,196,A,9,1,44,0,,1,46,0,,1,31,0,,1,32,0,,2,29,0,,4,34,0,,5,54,0,,4,42,0,
5754,10-ha,PortoAlegre,3209,200,A,9,3,32,0,,3,26,0,,2,27,0,,5,39,0,,5,38,0,,4,45,0,,4,50,0,,6,55,0,
5754,10-ha,PortoAlegre,3209,224,A,9,3,66,0,,2,47,0,,2,31,0,,1,23,0,,2,24,0,,5,34,0,,5,45,0,,6,53,0,
5754,10-ha,PortoAlegre,3209,231,A,9,1,62,0,,2,44,0,,2,31,0,,2,25,0,,5,33,0,,,,,,6,36,0,,6,49,0,
5754,10-ha,PortoAlegre,3209,234,A,9,2,36,0,,1,27,0,,2,31,0,,2,36,0,,2,32,0,,2,14,0,,2,20,0,,2,28,0,
