"plot","plotID","habitat","ranch","bdffp_reserve_no","HA_ID_Number","tag_number","row","column","x_09","y_09","year","code.notes"
"5750","CF-2","CF","Esteio-Colosso","1501","1041",177,"D","10","9.6",8.6,2005,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1079",215,"D","7","3.3",7.7,2005,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1165",305,"C","10","4.2",9.5,2005,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1215",357,"H","7","5",7.3,2005,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1242",384,"J","9","5.3",2.3,2005,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1250",392,"J","9","5.3",7.8,2005,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1278",420,"J","8","",NA,2005,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1307",451,"J","7","0.7",3.4,2005,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1361",506,"I","7","2.1",9.7,2005,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1438",583,"E","8","",NA,2005,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1591",736,"I","9","1.1",9.1,2005,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1621",767,"A","8","6.6",5.6,2005,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1660",806,"B","9","",NA,2005,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1667",813,"B","9","",NA,2005,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1684",830,"B","9","8.1",9.1,2005,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1774",923,"C","9","8",5.6,2005,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1820",969,"H","7","4.5",1.9,2005,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1868",1317,"J","8","5.9",8.2,2005,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1872",1321,"H","8","4",2.6,2005,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1877",1326,"J","8","2.3",2.1,2005,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","944",1,"I","9","1.8",9.3,2006,"under branchfall (90)"
