plant_id,plot,habitat,ranch,bdffp_reserve_no,tag_number,row,column,plot_id,year,code,duplicate_tag,adult_no_tag,recorded_sdlg,treefall_status,condition,census_status
1737,5750,CF,EST,1501,369,H,6,CF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
1921,5750,CF,EST,1501,424,I,8,CF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
1589,5750,CF,EST,1501,542,F,9,CF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
1820,5750,CF,EST,1501,965,H,8,CF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
1795,5750,CF,EST,1501,996,H,7,CF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
1381,5750,CF,EST,1501,1359,D,6,CF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
1801,5750,CF,EST,1501,2043,H,7,CF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
1892,5750,CF,EST,1501,2070,I,6,CF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
2164,5750,CF,EST,1501,2306,J,9,CF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
2030,5750,CF,EST,1501,2313,J,6,CF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
2034,5750,CF,EST,1501,2317,J,6,CF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
2119,5750,CF,EST,1501,2341,J,8,CF-2,2009,ULY,NA,TRUE,FALSE,NA,NA,measured
2521,5751,1-ha,EST,1104,216,E,5,FF-3,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
2469,5751,1-ha,EST,1104,237,D,9,FF-3,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
2433,5751,1-ha,EST,1104,261,D,6,FF-3,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
2536,5751,1-ha,EST,1104,267,E,6,FF-3,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
2498,5751,1-ha,EST,1104,241,E,10,FF-3,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
2534,5751,1-ha,EST,1104,254,E,6,FF-3,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
2452,5751,1-ha,EST,1104,289,D,7,FF-3,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
2381,5751,1-ha,EST,1104,338,D,1,FF-3,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
2399,5751,1-ha,EST,1104,247,D,3,FF-3,2004,ULY,NA,TRUE,FALSE,NA,NA,measured
2257,5751,1-ha,EST,1104,282,B,7,FF-3,2004,ULY,NA,TRUE,FALSE,NA,NA,measured
2194,5751,1-ha,EST,1104,286,A,7,FF-3,2004,ULY,NA,TRUE,FALSE,NA,NA,measured
2277,5751,1-ha,EST,1104,428,C,1,FF-3,2006,ULY,NA,TRUE,FALSE,NA,NA,measured
2383,5751,1-ha,EST,1104,429,D,1,FF-3,2006,ULY,NA,TRUE,FALSE,NA,NA,measured
2546,5751,1-ha,EST,1104,93,E,7,FF-3,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
2480,5751,1-ha,EST,1104,137,E,1,FF-3,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
2369,5751,1-ha,EST,1104,191,C,9,FF-3,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
2433,5751,1-ha,EST,1104,261,D,6,FF-3,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
2503,5751,1-ha,EST,1104,331,E,2,FF-3,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
2555,5751,1-ha,EST,1104,340,E,7,FF-3,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
2286,5751,1-ha,EST,1104,396,C,2,FF-3,2008,ULY,NA,TRUE,FALSE,NA,NA,measured
2988,5752,10-ha,EST,1202,411,C,5,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
2794,5752,10-ha,EST,1202,431,B,4,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
3171,5752,10-ha,EST,1202,432,D,5,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
3149,5752,10-ha,EST,1202,441,D,4,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
3102,5752,10-ha,EST,1202,445,D,1,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
3117,5752,10-ha,EST,1202,457,D,10,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
3118,5752,10-ha,EST,1202,462,D,10,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
2726,5752,10-ha,EST,1202,466,A,9,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
3085,5752,10-ha,EST,1202,468,C,9,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
2727,5752,10-ha,EST,1202,470,A,9,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
3398,5752,10-ha,EST,1202,475,E,9,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
2728,5752,10-ha,EST,1202,476,A,9,FF-6,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
