plot_id,plant_id,year,treefall_status
CF-1,8028,2001,branch
CF-1,8028,2002,branch
CF-1,8028,2004,branch
CF-1,8032,2002,tree
CF-1,8034,2002,branch
CF-1,8035,2002,branch
CF-1,8037,2000,branch
CF-1,8037,2002,branch
CF-1,8040,2002,branch
CF-1,8056,2004,branch
CF-1,8141,2007,branch
CF-1,8144,2003,branch
CF-1,8155,2001,branch
CF-1,8161,2007,branch
CF-1,8203,2007,branch
CF-1,8214,2000,branch
CF-1,8314,2002,branch
CF-5,8360,2002,branch
CF-5,8360,2008,branch
CF-5,8360,2009,branch
CF-5,8364,2009,branch
CF-5,8371,2002,branch
CF-5,8380,2005,branch
CF-5,8393,2007,branch
CF-5,8419,2002,branch
CF-5,8423,2006,branch
CF-5,8474,1999,branch
CF-5,8482,2006,branch
CF-5,8495,2009,branch
CF-5,8539,2002,branch
CF-5,8548,2004,branch
CF-5,8552,2005,branch
CF-5,8571,2002,branch
CF-5,8575,2001,branch
CF-5,8575,2002,branch
CF-5,8593,2002,branch
CF-5,8621,1999,branch
CF-5,8631,2006,branch
CF-5,8645,2002,branch
CF-5,8646,2002,branch
CF-5,8653,2004,branch
